1.474826053125723774e+03;5.517800999999998623e+00
8.193478072920688646e+02;3.097600000000000797e+00
5.672407896637399745e+02;2.140369000000000188e+00
4.337723685663893889e+02;1.612900000000000000e+00
3.511490602680294728e+02;1.347921000000000147e+00
3.072554277345257674e+02;1.113025000000000375e+00
2.633617952010221757e+02;9.920160000000002309e-01
2.304415708008943682e+02;8.593289999999998985e-01
2.048369518230172162e+02;7.310250000000001469e-01
1.843532566407154718e+02;6.922240000000001725e-01
