6.780460637243390307e-04;4.948045522018802711e-02
1.220482914703810255e-03;8.635578583765111949e-02
1.762919765683281480e-03;1.020408163265306006e-01
2.305356616662752704e-03;1.524390243902438991e-01
2.847793467642223929e-03;1.572327044025157161e-01
3.254621105876827781e-03;2.114164904862579075e-01
3.797057956856298138e-03;2.016129032258064668e-01
4.339494807835769796e-03;2.732240437158469648e-01
4.881931658815241021e-03;2.816901408450704358e-01
5.424368509794712245e-03;3.300330033003300301e-01
